"","Subject","Exp","order","subBlock","countProp","trialCongruency","vjoutRT"
"450","71","E2","B1 0","B1","100% Con","inc",1121.81818181818
"451","71","E2","B1 0","B1","0% Con","con",1243.28571428571
"452","71","E2","B1 0","B1","0% Con","inc",1040.375
"453","71","E2","B1 0","B2","100% Con","con",696.333333333333
"454","71","E2","B1 0","B2","100% Con","inc",854.333333333333
"455","71","E2","B1 0","B2","0% Con","con",766.916666666667
"456","71","E2","B1 0","B2","0% Con","inc",988.818181818182
"457","73","E2","B1 100","B1","100% Con","con",523.090909090909
"458","73","E2","B1 100","B1","100% Con","inc",577
"459","73","E2","B1 100","B1","0% Con","con",578.666666666667
"460","73","E2","B1 100","B1","0% Con","inc",591.545454545455
"461","73","E2","B1 100","B2","100% Con","con",494.363636363636
"462","73","E2","B1 100","B2","100% Con","inc",624.090909090909
"463","73","E2","B1 100","B2","0% Con","con",479.666666666667
"464","73","E2","B1 100","B2","0% Con","inc",611.583333333333
"465","74","E2","B1 0","B1","100% Con","con",550.333333333333
"466","74","E2","B1 0","B1","100% Con","inc",702.454545454545
